,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型
4395,600661,昂立教育,-4.01,8.13,8.7,8.07,8.25,-0.34,6.27,1.83,7.98,179657,149771292.0,8.47,2329641988,2329641988,1.600661,沪A
4396,002738,中矿资源,-4.02,78.4,79.92,77.55,78.3,-3.28,4.34,0.59,8.24,130411,1024535552.0,81.68,25531048984,23571384222,0.002738,深A
4397,002223,鱼跃医疗,-4.02,23.41,24.07,23.22,23.7,-0.98,0.85,0.62,12.63,80085,188869921.0,24.39,23467984908,21954100684,0.002223,深A
4398,600956,新天绿能,-4.02,10.97,11.24,10.91,11.24,-0.46,2.82,0.82,12.25,37994,41915344.0,11.43,45932411011,1478207500,1.600956,沪A
4399,301015,百洋医药,-4.03,21.69,22.19,21.1,21.4,-0.91,13.17,1.85,32.2,62330,134733373.0,22.6,11389419000,1026804600,0.301015,深A
4400,603369,今世缘,-4.03,43.6,44.8,42.75,44.43,-1.83,0.68,0.72,13.64,85190,371378144.0,45.43,54696200000,54696200000,1.603369,沪A
4401,600707,彩虹股份,-4.03,4.05,4.15,4.0,4.15,-0.17,1.22,0.97,-4.9,301900,123326318.0,4.22,14532978415,10023385860,1.600707,沪A
4402,600623,华谊集团,-4.03,7.38,7.53,7.33,7.52,-0.31,0.63,0.82,5.86,117684,87475124.0,7.69,15730098033,13743012111,1.600623,沪A
4403,002623,亚玛顿,-4.03,18.8,19.13,18.63,19.09,-0.79,0.94,1.09,84.74,18712,35342426.0,19.59,3742375000,3734359150,0.002623,深A
4404,600395,盘江股份,-4.03,8.09,8.37,8.01,8.25,-0.34,1.31,0.64,9.06,216744,176942046.0,8.43,17366195392,13389369555,1.600395,沪A
4405,603966,法兰泰克,-4.03,8.8,8.98,8.32,8.98,-0.37,1.06,0.64,31.35,31865,28148017.0,9.17,2642867304,2642867304,1.603966,沪A
4406,603866,桃李面包,-4.04,13.55,14.39,13.5,14.25,-0.57,0.39,0.47,28.59,52120,71246159.0,14.12,18063495461,18063495461,1.603866,沪A
4407,000729,燕京啤酒,-4.04,6.65,6.87,6.62,6.8,-0.28,0.84,0.73,5423.85,210330,141094575.0,6.93,18743286618,16688574785,0.000729,深A
4408,300426,唐德影视,-4.04,6.41,6.48,6.27,6.41,-0.27,0.59,0.47,-11.17,23525,15005534.0,6.68,2658685315,2544993344,0.300426,深A
4409,000888,峨眉山Ａ,-4.04,6.41,6.59,6.37,6.5,-0.27,2.08,0.64,190.89,109626,70944089.0,6.68,3377512984,3377512984,0.000888,深A
4410,002460,赣锋锂业,-4.05,104.09,106.54,103.5,103.5,-4.39,2.11,0.53,10.61,181535,1903888112.0,108.48,149627176619,89460413952,0.002460,深A
4411,002037,保利联合,-4.05,8.76,9.07,8.64,8.78,-0.37,8.53,0.83,-18.41,279362,246749955.0,9.13,4238820038,2867745082,0.002037,深A
4412,601388,怡球资源,-4.06,3.31,3.38,3.3,3.35,-0.14,0.89,0.68,12.2,180337,60172743.0,3.45,7287012618,6674820392,1.601388,沪A
4413,002036,联创电子,-4.06,11.11,11.35,11.06,11.15,-0.47,2.24,0.5,73.58,234264,261614491.0,11.58,11808039556,11621607845,0.002036,深A
4414,600018,上港集团,-4.06,6.14,6.41,6.11,6.22,-0.26,0.26,1.16,6.5,609987,380090896.0,6.4,142931093665,142286362351,1.600018,沪A
4415,300850,新强联,-4.07,113.0,115.49,109.6,113.95,-4.79,2.01,0.7,56.08,23292,261060051.0,117.79,21915937663,13114910628,0.300850,深A
4416,601390,中国中铁,-4.07,6.83,7.01,6.77,6.92,-0.29,0.77,0.6,5.57,1560215,1074453232.0,7.12,168985494655,139082973303,1.601390,沪A
4417,002157,正邦科技,-4.07,5.65,5.78,5.6,5.78,-0.24,1.79,0.79,-1.83,416423,236897800.0,5.89,17777322743,13136933345,0.002157,深A
4418,002457,青龙管业,-4.07,8.71,8.96,8.6,8.73,-0.37,5.73,0.66,-358.45,191775,168138452.0,9.08,2917780320,2916439842,0.002457,深A
4419,000975,银泰黄金,-4.08,9.18,9.42,9.09,9.3,-0.39,1.19,0.7,23.28,292446,270061152.0,9.57,25490310393,22476773708,0.000975,深A
4420,300737,科顺股份,-4.08,10.59,10.83,10.48,10.75,-0.45,1.61,0.48,31.58,143023,152292301.0,11.04,12512883560,9378599765,0.300737,深A
4421,300027,华谊兄弟,-4.08,2.35,2.4,2.33,2.39,-0.1,1.39,0.81,-12.37,312907,73923790.0,2.45,6520088910,5274734668,0.300027,深A
4422,300649,杭州园林,-4.09,27.0,28.3,25.94,26.01,-1.15,10.17,0.78,39.28,105061,286179360.0,28.15,3575248443,2788329150,0.300649,深A
4423,600408,安泰集团,-4.09,3.52,3.97,3.42,3.6,-0.15,5.75,2.8,17.35,579051,213087258.0,3.67,3543936000,3543936000,1.600408,沪A
4424,002376,新北洋,-4.09,6.57,6.95,6.56,6.69,-0.28,0.74,0.7,-29.5,47280,31612245.0,6.85,4373794828,4222079987,0.002376,深A
4425,600223,鲁商发展,-4.09,8.2,8.44,8.17,8.41,-0.35,0.96,0.72,31.21,96729,80242395.0,8.55,8275048032,8275048032,1.600223,沪A
4426,600916,中国黄金,-4.09,10.54,10.79,10.42,10.79,-0.45,1.25,0.83,17.58,103082,108752823.0,10.99,17707200000,8665461000,1.600916,沪A
4427,300299,富春股份,-4.1,5.15,5.35,5.07,5.22,-0.22,5.57,1.08,72.89,360311,187077643.0,5.37,3559831848,3332305904,0.300299,深A
4428,603005,晶方科技,-4.1,28.08,28.52,27.77,28.36,-1.2,2.3,0.82,31.18,93838,263777504.0,29.28,11463876665,11434561145,1.603005,沪A
4429,688036,传音控股,-4.11,81.03,83.88,79.63,82.78,-3.47,0.54,0.67,20.41,21156,171625501.0,84.5,64961017679,31866317564,1.688036,沪A
4430,002271,东方雨虹,-4.11,44.81,45.79,44.5,45.79,-1.92,0.87,0.61,88.98,172696,776530384.0,46.73,112904499089,88659268536,0.002271,深A
4431,600300,维维股份,-4.12,3.26,3.35,3.24,3.32,-0.14,1.99,0.83,44.94,332582,109539089.0,3.4,5450720000,5450720000,1.600300,沪A
4432,000923,河钢资源,-4.13,13.71,14.03,13.69,13.91,-0.59,1.12,0.53,7.8,70437,97446928.0,14.3,8948914055,8608321913,0.000923,深A
4433,000523,*ST浪奇,-4.13,3.02,3.11,2.99,3.11,-0.13,0.37,1.17,-94.77,50483,15277411.0,3.15,4869508805,4158062665,0.000523,深A
4434,600740,山西焦化,-4.13,5.34,5.52,5.31,5.4,-0.23,2.97,0.62,6.33,762082,412214832.0,5.57,13681726962,13681726962,1.600740,沪A
4435,002324,普利特,-4.13,9.75,10.0,9.64,10.0,-0.42,1.58,0.83,101.2,100024,97385195.0,10.17,9887107591,6167358044,0.002324,深A
4436,300313,ST天山,-4.14,4.86,5.22,4.85,4.95,-0.21,3.11,0.84,-80.84,57275,28649389.0,5.07,1521070145,895110324,0.300313,深A
4437,600782,新钢股份,-4.15,5.55,5.66,5.47,5.65,-0.24,2.38,0.83,4.29,759800,423230256.0,5.79,17697410963,17697410963,1.600782,沪A
4438,600362,江西铜业,-4.15,16.88,17.16,16.8,17.08,-0.73,0.77,0.87,9.92,159286,270377040.0,17.61,58450872356,35030176196,1.600362,沪A
4439,688302,海创药业-U,-4.15,32.56,34.31,30.5,32.5,-1.41,14.58,1.1,-9.27,33009,107543494.0,33.97,3223947871,736951742,1.688302,沪A
4440,002505,鹏都农牧,-4.15,2.77,2.92,2.72,2.86,-0.12,2.35,0.96,130.43,1498812,422979216.0,2.89,17656703214,17656703214,0.002505,深A
4441,002585,双星新材,-4.15,12.92,13.37,12.9,13.08,-0.56,2.82,0.71,10.4,247979,324436192.0,13.48,14939112858,11366253281,0.002585,深A
4442,603666,亿嘉和,-4.16,41.72,43.3,40.89,43.08,-1.81,0.63,0.49,58.66,12968,54069585.0,43.53,8617282688,8583960924,1.603666,沪A
4443,600257,大湖股份,-4.16,5.07,5.25,5.04,5.16,-0.22,4.0,0.66,-46.23,192571,98847705.0,5.29,2439872543,2439872543,1.600257,沪A
4444,300284,苏交科,-4.16,7.6,7.97,7.51,7.58,-0.33,8.38,0.72,54.44,710401,546898592.0,7.93,9597491082,6444030530,0.300284,深A
4445,600593,*ST圣亚,-4.16,10.82,11.18,10.73,10.73,-0.47,0.52,1.52,-11.62,6731,7268956.0,11.29,1393616000,1393616000,1.600593,沪A
4446,601068,中铝国际,-4.17,4.14,4.26,4.14,4.26,-0.18,0.46,0.86,167.53,117035,48816026.0,4.32,12250536001,10596705361,1.601068,沪A
4447,600895,张江高科,-4.17,11.02,11.33,11.02,11.21,-0.48,0.34,0.78,-18.72,53012,58892208.0,11.5,17066558841,17066558841,1.600895,沪A
4448,600865,百大集团,-4.18,11.0,11.3,10.9,11.3,-0.48,0.74,0.84,19.27,27951,30770983.0,11.48,4138643476,4138643476,1.600865,沪A
4449,002058,*ST威尔,-4.18,9.16,9.53,9.08,9.4,-0.4,0.37,0.65,-147.34,5350,4951828.0,9.56,1313986721,1310958874,0.002058,深A
4450,605138,盛泰集团,-4.19,12.82,14.46,12.8,13.07,-0.56,44.16,0.91,28.94,245372,334039408.0,13.38,7122279200,712279200,1.605138,沪A
4451,600909,华安证券,-4.19,4.12,4.25,4.11,4.22,-0.18,1.48,0.41,45.48,693609,289657152.0,4.3,19354362068,19354362068,1.600909,沪A
4452,300295,三六五网,-4.19,8.68,8.95,8.54,8.72,-0.38,7.51,0.84,78.62,124586,108739079.0,9.06,1662708094,1439874196,0.300295,深A
4453,688508,芯朋微,-4.2,66.0,68.2,65.88,66.82,-2.89,2.02,0.49,55.49,13947,93120004.0,68.89,7464501000,4550337000,1.688508,沪A
4454,002636,金安国纪,-4.2,7.52,7.7,7.48,7.65,-0.33,1.33,1.06,85.41,96201,72722383.0,7.85,5474560000,5437766309,0.002636,深A
4455,000151,中成股份,-4.21,7.28,7.6,7.24,7.58,-0.32,3.1,0.66,435.32,82571,60545924.0,7.6,2456058900,1940440080,0.000151,深A
4456,002946,新乳业,-4.22,10.9,11.34,10.81,11.33,-0.48,0.53,0.82,54.39,44975,49421103.0,11.38,9453262271,9184280006,0.002946,深A
4457,002229,鸿博股份,-4.22,4.54,4.64,4.51,4.6,-0.2,1.32,0.99,-44.22,65724,30027722.0,4.74,2262482954,2262149895,0.002229,深A
4458,002781,*ST奇信,-4.22,3.63,3.76,3.6,3.6,-0.16,14.78,121.46,-7.07,330876,119813414.0,3.79,816750000,812851634,0.002781,深A
4459,600515,*ST基础,-4.23,3.4,3.51,3.39,3.49,-0.15,0.39,0.83,129.33,362035,123699144.0,3.55,38846052647,31198442527,1.600515,沪A
4460,600491,龙元建设,-4.24,4.97,5.1,4.92,5.1,-0.22,1.99,0.99,11.15,303683,152311796.0,5.19,7602897036,7602897036,1.600491,沪A
4461,000403,派林生物,-4.24,18.75,19.18,18.5,19.0,-0.83,1.06,1.32,32.53,63823,119830213.0,19.58,13743193275,11302719225,0.000403,深A
4462,600256,广汇能源,-4.24,8.81,9.28,8.7,8.95,-0.39,2.41,0.96,6.53,1582183,1417676224.0,9.2,57844302775,57844302775,1.600256,沪A
4463,601127,小康股份,-4.24,37.94,39.4,37.8,38.2,-1.68,1.17,0.54,-15.38,120938,464263600.0,39.62,51596120717,39175287398,1.601127,沪A
