,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型
1161,PLSE,Pulse Biosciences Inc,1.26,2.41,2.58,2.3,2.38,0.03,0.23,0.48,-1.13,69431,166746.0,2.38,71823495,71823495,105.PLSE,美股
1164,HMC,本田汽车,1.25,26.68,26.91,26.36,26.56,0.33,0.09,1.44,6.8,1484893,39580258.0,26.35,45637700753,45637700753,106.HMC,美股
1165,FSK,FS KKR Capital Corp,1.25,21.04,21.09,20.57,20.75,0.26,0.38,0.81,10.23,1079485,22573520.0,20.78,5976987844,5976987844,106.FSK,美股
1166,REVB,Revelation Biosciences Inc,1.25,0.81,0.9,0.79,0.82,0.01,1.55,1.46,-5.73,233104,193525.0,0.8,12217045,12217045,105.REVB,美股
1167,GTE,Gran Tierra Energy Inc,1.25,1.62,1.64,1.55,1.61,0.02,1.95,0.88,14.05,7181059,11516281.0,1.6,596906123,596906123,107.GTE,美股
1168,BSGM,BioSig Technologies Inc,1.25,0.81,0.85,0.76,0.78,0.01,0.5,1.26,-1.0,196657,158068.0,0.8,32044863,32044863,105.BSGM,美股
1169,TCRR,TCR2 Therapeutics Inc,1.24,2.44,2.48,2.27,2.4,0.03,1.42,1.07,-0.94,548461,1323672.0,2.41,94053082,94053082,105.TCRR,美股
1170,TAK,武田制药,1.24,14.64,14.75,14.52,14.55,0.18,0.12,1.86,12.11,3893903,57068724.0,14.46,45665291994,45665291994,106.TAK,美股
1172,GVP,GSE Systems Inc,1.24,1.63,1.67,1.61,1.67,0.02,0.12,0.65,3.22,25741,42212.0,1.61,34190075,34190075,105.GVP,美股
1173,FSBW,FS Bancorp Inc,1.24,29.35,29.83,28.81,29.38,0.36,1.87,3.22,6.33,150606,4377287.0,28.99,236772643,236772643,105.FSBW,美股
1174,FET,Forum Energy Technologies Inc,1.24,21.26,22.75,20.62,20.89,0.26,1.5,3.13,-1.47,85796,1851993.0,21.0,121627546,121627546,106.FET,美股
1175,BKCC,黑石资本投资,1.24,4.09,4.11,4.02,4.02,0.05,0.3,0.75,4.54,219997,895759.0,4.04,301602641,301602641,105.BKCC,美股
1176,IMKTA,英格尔斯超市,1.24,94.13,96.0,92.58,93.83,1.15,0.46,0.66,6.42,87325,8222351.0,92.98,1787940613,1787940613,105.IMKTA,美股
1178,MT,安赛乐米塔尔,1.24,27.87,28.02,27.02,27.72,0.34,0.86,1.58,1.48,7663764,211644664.0,27.53,24887910000,24887910000,106.MT,美股
1179,SEE,希悦尔,1.23,65.6,66.06,63.71,64.41,0.8,0.52,0.89,18.91,762108,49834063.0,64.8,9583138477,9583138477,106.SEE,美股
1180,ICD,Independence Contract Drilling ,1.23,4.11,4.22,3.98,4.1,0.05,0.45,0.37,-0.84,61896,254455.0,4.06,55965891,55965891,106.ICD,美股
1181,NXGN,NextGen Healthcare Inc,1.23,19.76,20.27,19.36,20.27,0.24,0.66,0.95,1914.86,443286,8740125.0,19.52,1321250404,1321250404,105.NXGN,美股
1182,PGNY,Progyny Inc,1.22,37.27,37.84,34.54,37.06,0.45,0.79,1.37,52.1,728197,26848258.0,36.82,3426759775,3426759775,105.PGNY,美股
1183,SHO,Sunstone Hotel Investors Inc,1.22,11.61,11.73,11.16,11.38,0.14,1.36,0.7,72.85,2919155,33682989.0,11.47,2498591618,2498591618,106.SHO,美股
1185,EQS,Equus Total Return Inc,1.22,2.49,2.52,2.39,2.47,0.03,0.1,1.03,13.01,13073,32393.0,2.46,33660184,33660184,106.EQS,美股
1188,PFE,辉瑞,1.22,49.04,49.22,48.04,48.09,0.59,0.35,0.64,11.09,19891434,970040752.0,48.45,276966859518,276966859518,106.PFE,美股
1189,AMPY,Amplify Energy Corp,1.21,7.51,7.76,7.25,7.5,0.09,3.16,1.2,-8.98,1212720,9164299.0,7.42,287836844,287836844,106.AMPY,美股
1191,FSR,Fisker Inc-A,1.21,10.02,10.77,9.61,10.11,0.12,3.17,1.2,-6.32,9427170,96360243.0,9.9,2977987667,2977987667,106.FSR,美股
1192,SBH,莎莉美容,1.21,15.05,15.42,14.28,14.73,0.18,2.32,1.03,6.59,2549750,38249557.0,14.87,1656636305,1656636305,106.SBH,美股
1193,NRGX,PIMCO Energy and Tactical Credi,1.21,15.05,15.05,14.58,14.94,0.18,2025.44,1.57,-,101272,1510959.0,14.87,75250,75250,106.NRGX,美股
1194,RANI,Rani Therapeutics Holdings Inc-,1.21,11.72,12.43,11.06,11.51,0.14,0.03,0.31,-69.16,13377,157987.0,11.58,576158904,576158904,105.RANI,美股
1195,AVTR,Avantor Inc,1.2,31.09,31.16,29.8,30.47,0.37,0.78,0.64,31.68,4786105,147050933.0,30.72,18975439044,18975439044,106.AVTR,美股
1199,JBSS,John B. Sanfilippo & Son Inc,1.2,74.21,74.3,72.77,72.94,0.88,0.52,0.58,15.08,59774,4404545.0,73.33,855340453,855340453,105.JBSS,美股
1202,VRTV,Veritiv Corp,1.2,145.45,145.58,138.33,142.14,1.72,0.71,1.04,15.12,106841,15353223.0,143.73,2186243969,2186243969,106.VRTV,美股
1203,UHS,Universal Health Services Inc-B,1.2,127.8,129.74,124.8,126.0,1.51,1.05,1.12,10.15,784203,100367879.0,126.29,9505841830,9505841830,106.UHS,美股
1204,MUFG,三菱日联金融,1.19,5.94,5.98,5.89,5.93,0.07,0.04,1.32,7.75,4832429,28694651.0,5.87,75570164198,75570164198,106.MUFG,美股
1206,CVE,Cenovus能源,1.19,20.4,20.47,19.78,20.36,0.24,0.55,0.87,20.29,10800637,218605718.0,20.16,40425762000,40425762000,106.CVE,美股
1207,PVL,Permianville Royalty Trust,1.19,3.41,3.46,3.33,3.4,0.04,0.31,0.74,36.08,103061,348144.0,3.37,112530000,112530000,106.PVL,美股
1208,SSB,South State Corp,1.18,79.52,79.88,77.56,78.6,0.93,0.85,1.54,12.62,638873,50408260.0,78.59,6001815816,6001815816,105.SSB,美股
1209,SNPX,Synaptogenix Inc,1.18,5.14,5.67,5.1,5.67,0.06,0.37,0.55,-2.78,24903,130127.0,5.08,35001586,35001586,105.SNPX,美股
1211,D,道明尼能源,1.18,84.02,84.24,82.0,82.48,0.98,0.6,1.27,20.73,4843929,404767760.0,83.04,68162935143,68162935143,106.D,美股
